Run Number  |  Time to Converge  |  Agents Commited to First / Second / Neither Target
0	0	0	0	150
0	120	46	31	73
0	240	81	51	18
0	360	89	44	17
0	480	106	30	14
0	600	115	25	10
0	720	115	20	15
0	840	118	21	11
0	960	108	26	16
0	1080	122	23	5
0	1200	109	31	10
0	1320	102	30	18
0	1440	107	22	21
0	1560	106	21	23
0	1680	118	19	13
final	1800	108	26	16
1	0	0	0	150
1	120	65	19	66
1	240	99	38	13
1	360	81	57	12
1	480	86	50	14
1	600	81	54	15
1	720	77	58	15
1	840	71	66	13
1	960	71	64	15
1	1080	66	68	16
1	1200	51	86	13
1	1320	43	95	12
1	1440	35	95	20
1	1560	24	110	16
1	1680	16	121	13
final	1800	19	126	5
2	0	0	0	150
2	120	63	25	62
2	240	90	46	14
2	360	89	41	20
2	480	99	39	12
2	600	90	43	17
2	720	89	50	11
2	840	83	52	15
2	960	82	52	16
2	1080	75	64	11
2	1200	74	62	14
2	1320	72	65	13
2	1440	66	72	12
2	1560	68	73	9
2	1680	60	71	19
final	1800	59	77	14
3	0	0	0	150
3	120	42	50	58
3	240	76	50	24
3	360	79	58	13
3	480	64	69	17
3	600	66	58	26
3	720	67	56	27
3	840	74	50	26
3	960	88	53	9
3	1080	75	59	16
3	1200	81	57	12
3	1320	79	55	16
3	1440	77	63	10
3	1560	66	69	15
3	1680	57	80	13
final	1800	56	80	14
4	0	0	0	150
4	120	31	48	71
4	240	57	71	22
4	360	51	81	18
4	480	55	78	17
4	600	68	65	17
4	720	67	64	19
4	840	76	61	13
4	960	76	60	14
4	1080	67	64	19
4	1200	62	69	19
4	1320	66	77	7
4	1440	60	81	9
4	1560	50	87	13
4	1680	49	87	14
final	1800	56	88	6
5	0	0	0	150
5	120	53	22	75
5	240	65	52	33
5	360	70	65	15
5	480	68	61	21
5	600	83	48	19
5	720	73	56	21
5	840	79	52	19
5	960	77	59	14
5	1080	74	57	19
5	1200	88	42	20
5	1320	95	43	12
5	1440	108	34	8
5	1560	106	29	15
5	1680	116	17	17
final	1800	127	10	13
6	0	0	0	150
6	120	58	42	50
6	240	68	68	14
6	360	69	57	24
6	480	76	55	19
6	600	64	63	23
6	720	65	69	16
6	840	72	64	14
6	960	70	65	15
6	1080	76	64	10
6	1200	72	66	12
6	1320	66	65	19
6	1440	87	56	7
6	1560	80	50	20
6	1680	100	38	12
final	1800	101	31	18
7	0	0	0	150
7	120	60	46	44
7	240	74	62	14
7	360	82	56	12
7	480	85	45	20
7	600	103	44	3
7	720	96	30	24
7	840	102	30	18
7	960	108	34	8
7	1080	106	26	18
7	1200	119	20	11
7	1320	108	19	23
7	1440	117	21	12
7	1560	122	19	9
7	1680	125	10	15
final	1800	126	7	17
8	0	0	0	150
8	120	29	53	68
8	240	37	85	28
8	360	48	89	13
8	480	62	80	8
8	600	57	74	19
8	720	59	86	5
8	840	65	73	12
8	960	60	75	15
8	1080	62	72	16
8	1200	53	85	12
8	1320	55	80	15
8	1440	57	83	10
8	1560	47	88	15
8	1680	41	87	22
final	1800	45	96	9
9	0	0	0	150
9	120	51	43	56
9	240	76	61	13
9	360	63	74	13
9	480	66	74	10
9	600	57	81	12
9	720	57	71	22
9	840	60	76	14
9	960	51	87	12
9	1080	54	84	12
9	1200	50	89	11
9	1320	40	88	22
9	1440	42	95	13
9	1560	41	99	10
9	1680	41	92	17
final	1800	46	86	18
10	0	0	0	150
10	120	44	44	62
10	240	48	86	16
10	360	36	89	25
10	480	26	100	24
10	600	50	91	9
10	720	50	92	8
10	840	63	79	8
10	960	55	84	11
10	1080	49	78	23
10	1200	61	73	16
10	1320	66	71	13
10	1440	53	78	19
10	1560	62	71	17
10	1680	61	73	16
final	1800	64	69	17
11	0	0	0	150
11	120	48	38	64
11	240	86	41	23
11	360	93	40	17
11	480	96	48	6
11	600	82	53	15
11	720	64	70	16
11	840	50	86	14
11	960	37	92	21
11	1080	51	82	17
11	1200	65	68	17
11	1320	73	63	14
11	1440	76	58	16
11	1560	82	53	15
11	1680	73	55	22
final	1800	73	50	27
12	0	0	0	150
12	120	27	52	71
12	240	40	87	23
12	360	44	90	16
12	480	32	109	9
12	600	40	101	9
12	720	31	104	15
12	840	31	104	15
12	960	35	102	13
12	1080	44	98	8
12	1200	37	102	11
12	1320	40	98	12
12	1440	32	100	18
12	1560	30	97	23
12	1680	28	111	11
final	1800	25	109	16
13	0	0	0	150
13	120	31	32	87
13	240	71	62	17
13	360	77	52	21
13	480	88	49	13
13	600	90	45	15
13	720	85	42	23
13	840	96	46	8
13	960	99	36	15
13	1080	99	27	24
13	1200	99	37	14
13	1320	90	44	16
13	1440	77	52	21
13	1560	83	50	17
13	1680	105	33	12
final	1800	110	23	17
14	0	0	0	150
14	120	43	13	94
14	240	105	25	20
14	360	103	29	18
14	480	116	22	12
14	600	124	16	10
14	720	127	7	16
14	840	136	2	12
14	960	143	1	6
14	1080	140	0	10
14	1200	148	0	2
14	1320	144	0	6
14	1440	141	0	9
14	1560	145	0	5
14	1680	142	0	8
final	1800	143	0	7
15	0	0	0	150
15	120	44	44	62
15	240	77	53	20
15	360	70	66	14
15	480	67	66	17
15	600	70	62	18
15	720	60	75	15
15	840	60	63	27
15	960	70	63	17
15	1080	70	55	25
15	1200	79	53	18
15	1320	77	54	19
15	1440	89	57	4
15	1560	100	42	8
15	1680	104	40	6
final	1800	99	43	8
16	0	0	0	150
16	120	27	55	68
16	240	56	83	11
16	360	61	75	14
16	480	71	69	10
16	600	57	71	22
16	720	55	86	9
16	840	59	85	6
16	960	54	80	16
16	1080	51	89	10
16	1200	35	99	16
16	1320	40	90	20
16	1440	46	97	7
16	1560	52	89	9
16	1680	44	89	17
final	1800	35	102	13
17	0	0	0	150
17	120	39	34	77
17	240	56	76	18
17	360	63	72	15
17	480	58	78	14
17	600	62	72	16
17	720	60	74	16
17	840	48	92	10
17	960	42	84	24
17	1080	33	102	15
17	1200	38	98	14
17	1320	28	107	15
17	1440	26	106	18
17	1560	26	101	23
17	1680	32	107	11
final	1800	37	102	11
18	0	0	0	150
18	120	27	46	77
18	240	41	92	17
18	360	50	88	12
18	480	44	94	12
18	600	32	105	13
18	720	39	93	18
18	840	35	97	18
18	960	36	101	13
18	1080	32	103	15
18	1200	34	104	12
18	1320	38	99	13
18	1440	33	101	16
18	1560	34	99	17
18	1680	27	112	11
final	1800	23	107	20
19	0	0	0	150
19	120	43	29	78
19	240	79	54	17
19	360	87	53	10
19	480	88	49	13
19	600	89	41	20
19	720	96	30	24
19	840	108	31	11
19	960	98	40	12
19	1080	104	35	11
19	1200	87	51	12
19	1320	88	57	5
19	1440	89	53	8
19	1560	82	55	13
19	1680	86	55	9
final	1800	84	57	9
20	0	0	0	150
20	120	54	46	50
20	240	77	58	15
20	360	89	49	12
20	480	86	50	14
20	600	87	50	13
20	720	95	42	13
20	840	102	36	12
20	960	111	28	11
20	1080	107	31	12
20	1200	113	23	14
20	1320	126	19	5
20	1440	118	20	12
20	1560	111	21	18
20	1680	114	18	18
final	1800	113	25	12
21	0	0	0	150
21	120	43	38	69
21	240	64	78	8
21	360	59	70	21
21	480	56	84	10
21	600	58	80	12
21	720	64	72	14
21	840	86	47	17
21	960	92	48	10
21	1080	99	38	13
21	1200	104	33	13
21	1320	107	28	15
21	1440	100	38	12
21	1560	97	37	16
21	1680	89	40	21
final	1800	104	31	15
22	0	0	0	150
22	120	29	48	73
22	240	55	76	19
22	360	54	80	16
22	480	52	85	13
22	600	45	79	26
22	720	45	89	16
22	840	43	89	18
22	960	50	84	16
22	1080	56	85	9
22	1200	56	82	12
22	1320	47	91	12
22	1440	48	90	12
22	1560	48	89	13
22	1680	49	92	9
final	1800	45	94	11
23	0	0	0	150
23	120	52	24	74
23	240	79	50	21
23	360	72	59	19
23	480	82	59	9
23	600	74	55	21
23	720	85	49	16
23	840	81	58	11
23	960	91	40	19
23	1080	101	38	11
23	1200	107	31	12
23	1320	89	41	20
23	1440	73	65	12
23	1560	79	56	15
23	1680	86	52	12
final	1800	89	50	11
24	0	0	0	150
24	120	28	51	71
24	240	66	71	13
24	360	72	66	12
24	480	52	66	32
24	600	66	75	9
24	720	65	67	18
24	840	74	67	9
24	960	72	67	11
24	1080	74	68	8
24	1200	77	62	11
24	1320	77	59	14
24	1440	91	52	7
24	1560	92	46	12
24	1680	86	51	13
final	1800	92	46	12
25	0	0	0	150
25	120	38	35	77
25	240	64	64	22
25	360	70	63	17
25	480	75	63	12
25	600	66	67	17
25	720	65	72	13
25	840	57	73	20
25	960	75	64	11
25	1080	70	71	9
25	1200	66	66	18
25	1320	71	66	13
25	1440	74	63	13
25	1560	72	66	12
25	1680	77	59	14
final	1800	65	69	16
26	0	0	0	150
26	120	46	42	62
26	240	74	60	16
26	360	66	66	18
26	480	76	60	14
26	600	74	62	14
26	720	71	60	19
26	840	91	46	13
26	960	96	40	14
26	1080	95	39	16
26	1200	110	30	10
26	1320	114	23	13
26	1440	119	23	8
26	1560	125	12	13
26	1680	133	10	7
final	1800	123	10	17
27	0	0	0	150
27	120	31	67	52
27	240	35	89	26
27	360	44	82	24
27	480	49	75	26
27	600	73	63	14
27	720	84	56	10
27	840	83	46	21
27	960	81	52	17
27	1080	72	56	22
27	1200	69	61	20
27	1320	65	64	21
27	1440	66	72	12
27	1560	69	70	11
27	1680	58	71	21
final	1800	61	75	14
28	0	0	0	150
28	120	55	31	64
28	240	89	41	20
28	360	93	47	10
28	480	80	49	21
28	600	85	50	15
28	720	81	56	13
28	840	69	56	25
28	960	65	69	16
28	1080	68	72	10
28	1200	69	71	10
28	1320	61	73	16
28	1440	76	70	4
28	1560	78	61	11
28	1680	79	56	15
final	1800	73	65	12
29	0	0	0	150
29	120	28	63	59
29	240	30	100	20
29	360	37	103	10
29	480	42	96	12
29	600	38	92	20
29	720	29	103	18
29	840	27	110	13
29	960	22	110	18
29	1080	20	122	8
29	1200	20	120	10
29	1320	11	123	16
29	1440	2	142	6
29	1560	0	145	5
29	1680	0	147	3
final	1800	0	144	6
30	0	0	0	150
30	120	38	52	60
30	240	49	81	20
30	360	71	66	13
30	480	70	64	16
30	600	70	65	15
30	720	72	62	16
30	840	68	68	14
30	960	57	69	24
30	1080	57	77	16
30	1200	55	80	15
30	1320	59	80	11
30	1440	69	66	15
30	1560	78	56	16
30	1680	77	58	15
final	1800	64	72	14
31	0	0	0	150
