Run Number  |  Time to Converge  |  Agents Commited to First / Second / Neither Target
0	0	0	0	150
0	120	47	35	68
0	240	78	47	25
0	360	84	50	16
0	480	76	59	15
0	600	81	49	20
0	720	71	59	20
0	840	67	68	15
0	960	67	62	21
0	1080	53	72	25
0	1200	48	84	18
0	1320	39	95	16
0	1440	42	91	17
0	1560	26	93	31
0	1680	34	93	23
final	1800	37	89	24
1	0	0	0	150
1	120	23	42	85
1	240	59	69	22
1	360	61	72	17
1	480	61	71	18
1	600	54	81	15
1	720	53	78	19
1	840	65	65	20
1	960	63	64	23
1	1080	66	63	21
1	1200	73	59	18
1	1320	68	70	12
1	1440	60	75	15
1	1560	53	81	16
1	1680	54	72	24
final	1800	56	72	22
2	0	0	0	150
2	120	34	34	82
2	240	71	56	23
2	360	60	67	23
2	480	60	74	16
2	600	61	63	26
2	720	75	61	14
2	840	62	72	16
2	960	47	80	23
2	1080	55	67	28
2	1200	58	80	12
2	1320	52	76	22
2	1440	46	80	24
2	1560	50	82	18
2	1680	37	95	18
final	1800	31	93	26
3	0	0	0	150
3	120	45	32	73
3	240	87	48	15
3	360	101	31	18
3	480	120	17	13
3	600	126	12	12
3	720	132	11	7
3	840	137	1	12
3	960	142	0	8
3	1080	147	0	3
3	1200	144	0	6
3	1320	147	1	2
3	1440	143	1	6
3	1560	141	2	7
3	1680	143	0	7
final	1800	143	1	6
4	0	0	0	150
4	120	30	46	74
4	240	59	72	19
4	360	60	65	25
4	480	58	75	17
4	600	54	75	21
4	720	49	69	32
4	840	52	79	19
4	960	52	82	16
4	1080	43	79	28
4	1200	29	102	19
4	1320	17	115	18
4	1440	30	108	12
4	1560	21	112	17
4	1680	27	103	20
final	1800	28	105	17
5	0	0	0	150
5	120	65	41	44
5	240	83	50	17
5	360	88	42	20
5	480	80	48	22
5	600	58	69	23
5	720	71	59	20
5	840	76	54	20
5	960	77	54	19
5	1080	76	50	24
5	1200	84	50	16
5	1320	72	60	18
5	1440	77	54	19
5	1560	86	44	20
5	1680	80	48	22
final	1800	85	48	17
6	0	0	0	150
6	120	63	24	63
6	240	89	42	19
6	360	101	35	14
6	480	88	43	19
6	600	72	66	12
6	720	57	74	19
6	840	62	62	26
6	960	59	75	16
6	1080	59	79	12
6	1200	66	62	22
6	1320	72	53	25
6	1440	76	62	12
6	1560	78	46	26
6	1680	92	39	19
final	1800	81	48	21
7	0	0	0	150
7	120	38	26	86
7	240	62	59	29
7	360	72	63	15
7	480	61	68	21
7	600	74	64	12
7	720	63	72	15
7	840	49	83	18
7	960	45	90	15
7	1080	40	85	25
7	1200	41	93	16
7	1320	27	110	13
7	1440	27	108	15
7	1560	32	91	27
7	1680	36	92	22
final	1800	22	102	26
8	0	0	0	150
8	120	38	44	68
8	240	71	52	27
8	360	86	29	35
8	480	98	27	25
8	600	99	35	16
8	720	105	28	17
8	840	101	29	20
8	960	104	29	17
8	1080	102	29	19
8	1200	98	42	10
8	1320	101	32	17
8	1440	98	45	7
8	1560	91	46	13
8	1680	95	28	27
final	1800	108	17	25
9	0	0	0	150
9	120	33	53	64
9	240	50	80	20
9	360	48	86	16
9	480	40	88	22
9	600	45	84	21
9	720	57	76	17
9	840	51	86	13
9	960	57	78	15
9	1080	48	84	18
9	1200	53	81	16
9	1320	52	70	28
9	1440	43	80	27
9	1560	39	89	22
9	1680	35	97	18
final	1800	27	96	27
10	0	0	0	150
10	120	47	23	80
10	240	71	60	19
10	360	73	54	23
10	480	77	53	20
10	600	90	43	17
10	720	99	31	20
10	840	94	32	24
10	960	98	37	15
10	1080	73	57	20
10	1200	84	45	21
10	1320	95	41	14
10	1440	95	39	16
10	1560	90	34	26
10	1680	87	40	23
final	1800	75	49	26
11	0	0	0	150
11	120	59	35	56
11	240	92	43	15
11	360	92	45	13
11	480	93	34	23
11	600	100	35	15
11	720	101	25	24
11	840	105	27	18
11	960	125	15	10
11	1080	127	11	12
11	1200	137	5	8
