Run Number  |  Time to Converge  |  Agents Commited to First / Second / Neither Target
0	0	0	0	150
0	120	41	49	60
0	240	50	84	16
0	360	40	87	23
0	480	51	80	19
0	600	48	80	22
0	720	43	92	15
0	840	32	92	26
0	960	41	95	14
0	1080	38	89	23
0	1200	48	83	19
0	1320	34	98	18
0	1440	34	101	15
0	1560	37	86	27
0	1680	40	98	12
final	1800	38	90	22
1	0	0	0	150
1	120	56	24	70
1	240	100	37	13
1	360	92	37	21
1	480	100	37	13
1	600	101	36	13
1	720	94	46	10
1	840	76	54	20
1	960	72	60	18
1	1080	87	53	10
1	1200	81	48	21
1	1320	71	59	20
1	1440	72	63	15
1	1560	73	62	15
1	1680	72	59	19
final	1800	69	60	21
2	0	0	0	150
2	120	49	10	91
2	240	121	13	16
2	360	131	5	14
2	480	147	0	3
2	600	146	0	4
2	720	145	0	5
2	840	142	2	6
2	960	143	0	7
2	1080	144	1	5
2	1200	143	1	6
2	1320	142	0	8
2	1440	128	8	14
2	1560	134	5	11
2	1680	143	0	7
final	1800	141	0	9
3	0	0	0	150
3	120	37	48	65
3	240	51	74	25
3	360	50	78	22
3	480	40	93	17
3	600	39	97	14
3	720	36	95	19
3	840	32	103	15
3	960	20	118	12
3	1080	7	129	14
3	1200	6	130	14
3	1320	1	133	16
3	1440	1	141	8
3	1560	0	144	6
3	1680	1	142	7
final	1800	0	148	2
4	0	0	0	150
4	120	49	30	71
4	240	68	63	19
4	360	51	74	25
4	480	46	91	13
4	600	34	99	17
4	720	30	104	16
4	840	27	103	20
4	960	20	116	14
4	1080	14	124	12
4	1200	3	139	8
4	1320	0	147	3
4	1440	0	144	6
4	1560	1	142	7
4	1680	1	142	7
final	1800	0	145	5
5	0	0	0	150
5	120	36	36	78
5	240	55	67	28
5	360	49	89	12
5	480	48	82	20
5	600	54	83	13
5	720	43	86	21
5	840	50	84	16
5	960	47	89	14
5	1080	32	102	16
5	1200	49	87	14
5	1320	35	96	19
5	1440	32	89	29
5	1560	27	100	23
5	1680	20	121	9
final	1800	24	113	13
6	0	0	0	150
6	120	30	54	66
6	240	48	86	16
6	360	44	90	16
6	480	44	90	16
6	600	39	102	9
6	720	27	96	27
6	840	26	109	15
6	960	13	123	14
6	1080	8	131	11
6	1200	2	132	16
6	1320	3	143	4
6	1440	1	144	5
6	1560	1	144	5
6	1680	0	141	9
final	1800	0	148	2
7	0	0	0	150
7	120	36	51	63
7	240	56	80	14
7	360	56	79	15
7	480	55	75	20
7	600	44	77	29
7	720	51	71	28
7	840	59	73	18
7	960	51	80	19
7	1080	67	62	21
7	1200	68	62	20
7	1320	70	66	14
7	1440	62	69	19
7	1560	52	87	11
7	1680	58	81	11
final	1800	54	87	9
8	0	0	0	150
8	120	45	37	68
8	240	68	63	19
8	360	71	60	19
8	480	75	57	18
8	600	89	50	11
8	720	74	56	20
8	840	72	56	22
8	960	72	58	20
8	1080	50	80	20
8	1200	48	75	27
8	1320	38	87	25
8	1440	35	107	8
8	1560	45	87	18
8	1680	34	94	22
final	1800	30	103	17
9	0	0	0	150
9	120	31	35	84
9	240	69	58	23
9	360	66	65	19
9	480	58	80	12
9	600	65	73	12
9	720	65	60	25
9	840	80	51	19
9	960	83	44	23
9	1080	88	44	18
9	1200	88	47	15
9	1320	83	46	21
9	1440	88	41	21
9	1560	103	30	17
9	1680	105	30	15
final	1800	109	21	20
10	0	0	0	150
10	120	56	34	60
10	240	92	48	10
10	360	79	51	20
10	480	81	53	16
10	600	95	35	20
10	720	101	36	13
10	840	110	27	13
10	960	101	29	20
10	1080	116	22	12
10	1200	123	14	13
10	1320	121	12	17
10	1440	134	7	9
10	1560	127	7	16
10	1680	139	4	7
final	1800	138	0	12
11	0	0	0	150
11	120	33	42	75
11	240	71	58	21
11	360	65	65	20
11	480	62	68	20
11	600	60	75	15
11	720	67	68	15
11	840	71	64	15
11	960	49	81	20
11	1080	49	77	24
11	1200	59	62	29
11	1320	75	53	22
11	1440	62	72	16
11	1560	62	66	22
11	1680	69	63	18
final	1800	41	82	27
12	0	0	0	150
12	120	54	34	62
12	240	79	53	18
12	360	62	75	13
12	480	51	79	20
12	600	66	67	17
12	720	70	64	16
12	840	51	76	23
12	960	61	64	25
12	1080	75	65	10
12	1200	57	76	17
12	1320	59	75	16
12	1440	62	74	14
12	1560	67	63	20
12	1680	71	56	23
