Run Number  |  Time to Converge  |  Agents Commited to First / Second / Neither Target
0	0	0	0	150
0	120	7	8	135
0	240	17	23	110
0	360	35	25	90
0	480	43	26	81
0	600	54	20	76
0	720	50	24	76
0	840	72	18	60
0	960	56	12	82
0	1080	42	15	93
0	1200	59	17	74
0	1320	52	11	87
0	1440	64	12	74
0	1560	71	13	66
0	1680	65	11	74
final	1800	69	9	72
1	0	0	0	150
1	120	7	3	140
1	240	10	4	136
1	360	30	13	107
1	480	38	18	94
1	600	43	15	92
1	720	58	20	72
1	840	56	31	63
1	960	55	35	60
1	1080	50	26	74
1	1200	56	37	57
1	1320	54	29	67
1	1440	46	24	80
1	1560	36	36	78
1	1680	39	32	79
final	1800	32	30	88
2	0	0	0	150
2	120	5	5	140
2	240	9	23	118
2	360	14	44	92
2	480	29	47	74
2	600	26	48	76
2	720	28	44	78
2	840	32	34	84
2	960	36	38	76
2	1080	36	48	66
2	1200	33	39	78
2	1320	28	31	91
2	1440	33	40	77
2	1560	30	35	85
2	1680	17	45	88
final	1800	22	48	80
3	0	0	0	150
3	120	9	15	126
3	240	27	25	98
3	360	31	27	92
3	480	28	34	88
3	600	19	34	97
3	720	32	33	85
3	840	26	30	94
3	960	26	33	91
3	1080	12	57	81
3	1200	8	51	91
3	1320	7	67	76
3	1440	17	72	61
3	1560	9	67	74
3	1680	14	67	69
final	1800	12	50	88
4	0	0	0	150
4	120	6	10	134
4	240	15	23	112
4	360	15	35	100
4	480	12	44	94
4	600	26	46	78
4	720	36	44	70
4	840	32	36	82
4	960	37	38	75
4	1080	31	34	85
4	1200	29	42	79
4	1320	34	48	68
4	1440	24	38	88
4	1560	24	35	91
4	1680	22	31	97
final	1800	32	33	85
5	0	0	0	150
5	120	10	9	131
5	240	17	14	119
5	360	26	26	98
5	480	52	16	82
5	600	71	11	68
5	720	73	7	70
5	840	71	11	68
5	960	68	7	75
5	1080	82	7	61
5	1200	69	2	79
5	1320	74	5	71
5	1440	87	3	60
5	1560	60	5	85
5	1680	68	11	71
final	1800	58	9	83
6	0	0	0	150
6	120	2	1	147
6	240	8	7	135
6	360	12	16	122
6	480	12	26	112
6	600	14	33	103
6	720	16	41	93
6	840	21	31	98
6	960	20	46	84
6	1080	21	45	84
6	1200	16	43	91
6	1320	21	48	81
6	1440	24	61	65
6	1560	33	52	65
6	1680	26	52	72
final	1800	27	48	75
7	0	0	0	150
7	120	11	10	129
7	240	24	9	117
7	360	30	13	107
7	480	42	29	79
7	600	39	32	79
7	720	37	17	96
7	840	36	13	101
7	960	41	24	85
7	1080	35	35	80
7	1200	33	39	78
7	1320	44	25	81
7	1440	49	30	71
7	1560	34	31	85
7	1680	37	26	87
final	1800	22	21	107
8	0	0	0	150
8	120	9	9	132
8	240	20	28	102
8	360	26	27	97
8	480	36	36	78
8	600	44	42	64
8	720	31	44	75
8	840	42	44	64
8	960	45	39	66
8	1080	43	28	79
8	1200	45	31	74
8	1320	46	38	66
8	1440	40	19	91
8	1560	47	24	79
8	1680	53	30	67
final	1800	55	18	77
9	0	0	0	150
9	120	9	9	132
9	240	9	14	127
9	360	24	19	107
9	480	35	20	95
9	600	44	19	87
9	720	42	27	81
9	840	44	34	72
9	960	33	23	94
9	1080	30	28	92
9	1200	31	26	93
9	1320	28	35	87
9	1440	39	24	87
9	1560	47	13	90
9	1680	48	21	81
final	1800	42	15	93
10	0	0	0	150
10	120	7	10	133
10	240	27	11	112
10	360	31	21	98
10	480	31	34	85
10	600	31	40	79
10	720	30	30	90
10	840	33	35	82
10	960	37	40	73
10	1080	38	33	79
10	1200	40	30	80
10	1320	42	29	79
10	1440	37	24	89
10	1560	43	21	86
10	1680	35	32	83
final	1800	29	46	75
11	0	0	0	150
11	120	4	4	142
11	240	9	11	130
11	360	12	19	119
11	480	22	35	93
11	600	36	39	75
11	720	38	48	64
11	840	29	41	80
11	960	22	47	81
11	1080	20	49	81
11	1200	15	57	78
11	1320	18	66	66
11	1440	20	64	66
11	1560	12	62	76
11	1680	11	65	74
final	1800	8	68	74
12	0	0	0	150
12	120	10	14	126
12	240	14	20	116
12	360	19	45	86
12	480	28	44	78
12	600	29	29	92
12	720	34	34	82
12	840	29	41	80
12	960	38	32	80
12	1080	28	21	101
12	1200	35	28	87
12	1320	34	30	86
12	1440	33	33	84
12	1560	44	28	78
12	1680	31	36	83
final	1800	25	37	88
13	0	0	0	150
13	120	11	19	120
13	240	12	30	108
13	360	21	46	83
13	480	44	47	59
13	600	43	39	68
13	720	40	30	80
13	840	38	35	77
13	960	28	41	81
13	1080	17	52	81
13	1200	16	47	87
13	1320	27	44	79
13	1440	13	55	82
13	1560	27	55	68
13	1680	34	44	72
final	1800	28	55	67
14	0	0	0	150
14	120	5	9	136
14	240	17	22	111
14	360	12	46	92
14	480	19	49	82
14	600	10	55	85
14	720	18	50	82
14	840	22	53	75
14	960	15	41	94
14	1080	16	54	80
14	1200	20	51	79
14	1320	34	46	70
14	1440	45	35	70
14	1560	46	44	60
14	1680	30	35	85
final	1800	30	25	95
15	0	0	0	150
15	120	13	6	131
15	240	29	9	112
15	360	33	18	99
15	480	54	19	77
15	600	51	15	84
15	720	58	20	72
15	840	58	23	69
15	960	59	12	79
15	1080	55	13	82
15	1200	59	14	77
15	1320	60	9	81
15	1440	67	9	74
15	1560	62	10	78
15	1680	68	10	72
final	1800	61	7	82
16	0	0	0	150
16	120	9	4	137
16	240	29	13	108
16	360	44	27	79
16	480	44	28	78
16	600	34	45	71
16	720	21	56	73
16	840	12	50	88
16	960	17	58	75
16	1080	12	62	76
16	1200	12	74	64
16	1320	9	65	76
16	1440	3	71	76
16	1560	5	77	68
16	1680	1	70	79
final	1800	4	73	73
17	0	0	0	150
17	120	6	6	138
17	240	18	14	118
17	360	26	19	105
17	480	30	36	84
17	600	27	26	97
17	720	39	25	86
17	840	38	28	84
17	960	40	32	78
17	1080	40	31	79
17	1200	33	26	91
17	1320	35	32	83
17	1440	35	32	83
17	1560	64	27	59
17	1680	61	25	64
final	1800	62	20	68
18	0	0	0	150
18	120	12	7	131
18	240	24	18	108
18	360	42	29	79
18	480	30	28	92
18	600	40	28	82
18	720	35	26	89
18	840	37	37	76
18	960	28	39	83
18	1080	33	40	77
18	1200	31	52	67
18	1320	26	47	77
18	1440	28	35	87
18	1560	33	32	85
18	1680	34	21	95
final	1800	40	27	83
19	0	0	0	150
19	120	5	11	134
19	240	15	21	114
19	360	32	23	95
19	480	40	34	76
19	600	47	42	61
19	720	49	24	77
19	840	38	27	85
19	960	33	22	95
19	1080	35	30	85
19	1200	43	32	75
19	1320	37	29	84
19	1440	42	26	82
19	1560	45	24	81
19	1680	39	25	86
final	1800	39	32	79
20	0	0	0	150
20	120	16	9	125
20	240	28	27	95
20	360	25	34	91
20	480	27	43	80
20	600	21	49	80
20	720	36	39	75
20	840	38	36	76
20	960	49	19	82
20	1080	32	22	96
20	1200	34	16	100
20	1320	38	15	97
20	1440	44	12	94
20	1560	44	23	83
20	1680	33	15	102
final	1800	48	15	87
21	0	0	0	150
21	120	3	5	142
21	240	10	17	123
21	360	18	21	111
21	480	29	22	99
21	600	43	32	75
21	720	33	27	90
21	840	26	41	83
21	960	48	31	71
21	1080	51	32	67
21	1200	47	22	81
21	1320	53	24	73
21	1440	54	20	76
21	1560	62	14	74
21	1680	57	11	82
final	1800	51	12	87
22	0	0	0	150
22	120	10	2	138
22	240	26	8	116
22	360	31	4	115
22	480	39	12	99
22	600	44	13	93
22	720	47	18	85
22	840	47	29	74
22	960	49	31	70
22	1080	47	20	83
22	1200	61	19	70
22	1320	56	16	78
22	1440	55	22	73
22	1560	68	14	68
22	1680	60	10	80
final	1800	67	6	77
23	0	0	0	150
23	120	12	2	136
23	240	25	12	113
23	360	31	13	106
23	480	36	24	90
23	600	37	29	84
23	720	54	26	70
23	840	47	22	81
23	960	55	14	81
23	1080	64	12	74
23	1200	57	9	84
23	1320	66	10	74
23	1440	53	12	85
23	1560	64	4	82
23	1680	79	1	70
final	1800	76	4	70
24	0	0	0	150
24	120	8	7	135
24	240	10	15	125
24	360	16	18	116
24	480	35	18	97
24	600	34	18	98
24	720	33	22	95
24	840	47	26	77
24	960	44	29	77
24	1080	30	41	79
24	1200	25	44	81
24	1320	24	28	98
24	1440	14	47	89
24	1560	12	54	84
24	1680	15	59	76
final	1800	12	65	73
25	0	0	0	150
25	120	6	3	141
25	240	15	17	118
25	360	30	21	99
25	480	33	28	89
25	600	36	30	84
25	720	43	23	84
25	840	48	21	81
25	960	53	18	79
25	1080	57	23	70
25	1200	47	18	85
25	1320	58	8	84
25	1440	67	10	73
25	1560	67	2	81
25	1680	67	9	74
final	1800	62	4	84
26	0	0	0	150
26	120	14	2	134
26	240	38	12	100
26	360	47	3	100
26	480	69	0	81
26	600	70	5	75
26	720	65	6	79
26	840	73	8	69
26	960	62	8	80
26	1080	72	7	71
26	1200	63	8	79
26	1320	55	5	90
26	1440	53	9	88
26	1560	42	18	90
26	1680	33	22	95
final	1800	43	17	90
27	0	0	0	150
27	120	8	12	130
27	240	11	19	120
27	360	16	29	105
27	480	25	36	89
27	600	19	56	75
27	720	30	25	95
27	840	28	26	96
27	960	29	22	99
27	1080	27	24	99
27	1200	31	27	92
27	1320	43	29	78
27	1440	34	25	91
27	1560	29	43	78
27	1680	24	40	86
final	1800	30	38	82
28	0	0	0	150
28	120	13	17	120
28	240	25	22	103
28	360	37	23	90
28	480	38	39	73
28	600	33	48	69
28	720	37	43	70
28	840	38	34	78
28	960	41	22	87
28	1080	54	22	74
28	1200	52	23	75
28	1320	58	11	81
28	1440	58	14	78
28	1560	69	14	67
28	1680	55	8	87
final	1800	56	7	87
29	0	0	0	150
29	120	7	11	132
29	240	13	27	110
29	360	13	43	94
29	480	16	41	93
29	600	29	45	76
29	720	39	37	74
29	840	33	38	79
29	960	28	22	100
29	1080	40	29	81
29	1200	41	13	96
29	1320	52	16	82
29	1440	52	5	93
29	1560	47	5	98
29	1680	54	5	91
final	1800	55	13	82
30	0	0	0	150
30	120	7	16	127
30	240	10	24	116
30	360	22	23	105
30	480	43	41	66
30	600	33	38	79
30	720	43	42	65
30	840	44	38	68
30	960	34	42	74
30	1080	36	52	62
30	1200	34	48	68
30	1320	45	28	77
30	1440	53	23	74
30	1560	48	25	77
30	1680	42	13	95
final	1800	43	16	91
31	0	0	0	150
31	120	12	1	137
31	240	18	5	127
31	360	33	10	107
31	480	47	9	94
31	600	63	14	73
31	720	55	12	83
31	840	50	10	90
31	960	48	7	95
31	1080	52	8	90
31	1200	49	6	95
31	1320	66	11	73
31	1440	77	5	68
31	1560	89	2	59
31	1680	80	2	68
final	1800	59	5	86
32	0	0	0	150
32	120	15	9	126
32	240	25	17	108
32	360	33	16	101
32	480	44	19	87
32	600	48	24	78
32	720	35	22	93
32	840	34	26	90
32	960	30	23	97
32	1080	43	18	89
32	1200	39	18	93
32	1320	37	32	81
32	1440	46	30	74
32	1560	31	37	82
32	1680	24	31	95
final	1800	32	43	75
33	0	0	0	150
33	120	7	4	139
33	240	21	5	124
33	360	30	15	105
33	480	45	22	83
33	600	46	33	71
33	720	40	36	74
33	840	29	33	88
33	960	13	57	80
33	1080	16	47	87
33	1200	13	62	75
33	1320	19	57	74
33	1440	31	53	66
33	1560	39	41	70
33	1680	33	28	89
final	1800	33	28	89
34	0	0	0	150
34	120	8	6	136
34	240	26	13	111
34	360	36	18	96
34	480	36	22	92
34	600	45	20	85
34	720	45	36	69
34	840	46	26	78
34	960	40	29	81
34	1080	40	42	68
34	1200	43	39	68
34	1320	36	29	85
34	1440	36	24	90
34	1560	34	22	94
34	1680	45	21	84
final	1800	51	12	87
35	0	0	0	150
35	120	12	11	127
35	240	24	22	104
35	360	34	19	97
35	480	38	29	83
35	600	39	24	87
35	720	37	24	89
35	840	35	27	88
35	960	36	25	89
35	1080	36	24	90
35	1200	37	38	75
35	1320	38	30	82
35	1440	29	36	85
35	1560	45	34	71
35	1680	48	27	75
final	1800	40	23	87
36	0	0	0	150
36	120	10	5	135
36	240	28	9	113
36	360	38	10	102
36	480	53	8	89
36	600	52	10	88
36	720	60	7	83
36	840	59	3	88
36	960	69	4	77
36	1080	70	6	74
36	1200	83	5	62
36	1320	77	5	68
36	1440	69	2	79
36	1560	77	1	72
36	1680	74	3	73
final	1800	82	8	60
37	0	0	0	150
37	120	13	17	120
37	240	25	24	101
37	360	23	44	83
37	480	30	53	67
37	600	26	57	67
37	720	16	58	76
37	840	12	67	71
37	960	14	53	83
37	1080	15	52	83
37	1200	22	54	74
37	1320	13	63	74
37	1440	10	68	72
37	1560	13	57	80
37	1680	8	52	90
final	1800	5	67	78
38	0	0	0	150
38	120	7	7	136
38	240	10	12	128
38	360	12	31	107
38	480	15	42	93
38	600	30	49	71
38	720	22	50	78
38	840	10	59	81
38	960	12	61	77
38	1080	20	49	81
