Run Number  |  Time to Converge  |  Agents Commited to First / Second / Neither Target
0	0	0	0	150
0	120	10	10	130
0	240	37	34	79
0	360	53	35	62
0	480	63	38	49
0	600	61	37	52
0	720	64	30	56
0	840	51	50	49
0	960	37	48	65
0	1080	54	39	57
0	1200	57	48	45
0	1320	56	44	50
0	1440	54	53	43
0	1560	54	44	52
0	1680	59	36	55
final	1800	54	28	68
1	0	0	0	150
1	120	29	16	105
1	240	48	20	82
1	360	59	18	73
1	480	76	14	60
1	600	73	23	54
1	720	78	17	55
1	840	82	20	48
1	960	79	23	48
1	1080	91	16	43
1	1200	97	8	45
1	1320	102	2	46
1	1440	99	3	48
1	1560	102	1	47
1	1680	106	2	42
final	1800	103	5	42
2	0	0	0	150
2	120	22	9	119
2	240	48	22	80
2	360	74	23	53
2	480	94	6	50
2	600	103	7	40
2	720	94	7	49
2	840	99	4	47
2	960	93	10	47
2	1080	98	12	40
2	1200	88	13	49
2	1320	98	11	41
2	1440	102	11	37
2	1560	97	4	49
2	1680	108	1	41
final	1800	108	2	40
3	0	0	0	150
3	120	10	28	112
3	240	27	44	79
3	360	50	36	64
3	480	57	35	58
3	600	46	44	60
3	720	48	42	60
3	840	39	45	66
3	960	52	51	47
3	1080	41	57	52
3	1200	43	50	57
3	1320	53	40	57
3	1440	49	44	57
3	1560	44	46	60
3	1680	61	43	46
final	1800	59	39	52
4	0	0	0	150
4	120	20	9	121
4	240	39	19	92
4	360	54	23	73
4	480	59	33	58
4	600	46	38	66
4	720	60	33	57
4	840	69	36	45
4	960	75	33	42
4	1080	71	22	57
4	1200	72	18	60
4	1320	83	17	50
4	1440	73	29	48
4	1560	78	23	49
4	1680	73	23	54
final	1800	83	18	49
5	0	0	0	150
5	120	18	9	123
5	240	36	36	78
5	360	39	38	73
5	480	37	48	65
5	600	46	45	59
5	720	51	44	55
5	840	52	31	67
5	960	65	29	56
5	1080	76	17	57
5	1200	75	8	67
5	1320	96	4	50
5	1440	110	6	34
5	1560	110	3	37
5	1680	113	6	31
final	1800	110	0	40
6	0	0	0	150
6	120	11	13	126
6	240	20	33	97
6	360	28	40	82
6	480	26	67	57
6	600	23	67	60
6	720	25	68	57
6	840	28	76	46
6	960	18	70	62
6	1080	26	77	47
6	1200	25	76	49
6	1320	31	73	46
6	1440	24	81	45
6	1560	28	76	46
6	1680	28	73	49
final	1800	26	72	52
7	0	0	0	150
7	120	11	9	130
7	240	31	25	94
7	360	58	36	56
7	480	56	38	56
7	600	58	29	63
7	720	53	41	56
7	840	41	44	65
7	960	28	52	70
7	1080	37	54	59
7	1200	51	48	51
7	1320	51	54	45
7	1440	56	44	50
7	1560	53	45	52
7	1680	48	46	56
final	1800	37	53	60
8	0	0	0	150
8	120	18	6	126
8	240	43	12	95
8	360	73	13	64
8	480	76	26	48
8	600	65	14	71
8	720	85	9	56
8	840	94	10	46
8	960	94	20	36
8	1080	83	14	53
8	1200	82	21	47
8	1320	87	13	50
8	1440	91	12	47
8	1560	95	13	42
8	1680	82	12	56
final	1800	93	12	45
9	0	0	0	150
9	120	19	13	118
9	240	28	39	83
9	360	26	59	65
