Run Number  |  Time to Converge  |  Agents Commited to Chosen / Other / Uncommitted Target
0	0	0	0	150
0	300	111	0	39
0	600	123	0	27
final	676	128	0	22
1	0	0	0	150
1	300	109	0	41
final	462	128	0	22
2	0	0	0	150
2	300	0	99	51
2	600	0	111	39
2	900	0	122	28
final	907	0	129	21
3	0	0	0	150
3	300	0	12	138
final	488	0	128	22
4	0	0	0	150
4	300	119	0	31
final	563	128	0	22
5	0	0	0	150
5	300	97	1	52
5	600	112	0	38
5	900	112	0	38
5	1200	119	0	31
final	1334	129	0	21
6	0	0	0	150
6	300	17	95	38
6	600	6	109	35
final	723	0	128	22
7	0	0	0	150
7	300	42	0	108
7	600	117	0	33
final	779	128	0	22
8	0	0	0	150
8	300	1	0	149
8	600	24	0	126
8	900	110	0	40
final	1110	128	0	22
9	0	0	0	150
9	300	118	0	32
final	357	129	0	21
10	0	0	0	150
10	300	105	0	45
10	600	112	3	35
final	723	128	3	19
11	0	0	0	150
11	300	0	0	150
11	600	0	0	150
11	900	0	109	41
final	1139	0	129	21
12	0	0	0	150
12	300	0	0	150
12	600	0	119	31
final	632	0	128	22
13	0	0	0	150
13	300	98	9	43
13	600	114	6	30
final	862	129	6	15
14	0	0	0	150
14	300	4	106	40
14	600	0	120	30
final	705	0	128	22
15	0	0	0	150
15	300	0	0	150
15	600	81	0	69
final	769	130	0	20
16	0	0	0	150
16	300	0	0	150
16	600	114	0	36
final	890	128	0	22
17	0	0	0	150
17	300	0	117	33
final	483	0	128	22
18	0	0	0	150
18	300	6	0	144
18	600	9	0	141
final	837	129	0	21
19	0	0	0	150
19	300	0	0	150
19	600	0	107	43
19	900	0	121	29
final	990	0	129	21
20	0	0	0	150
20	300	104	0	46
final	478	129	0	21
21	0	0	0	150
21	300	54	40	56
21	600	73	41	36
21	900	83	40	27
21	1200	106	31	13
21	1500	82	52	16
21	1800	84	51	15
21	2100	100	40	10
21	2400	68	65	17
21	2700	28	105	17
21	3000	12	115	23
21	3300	17	116	17
final	3381	9	128	13
22	0	0	0	150
final	179	1	129	20
23	0	0	0	150
23	300	0	6	144
final	513	0	128	22
24	0	0	0	150
24	300	0	119	31
final	395	0	128	22
25	0	0	0	150
25	300	121	0	29
25	600	117	0	33
final	792	128	0	22
26	0	0	0	150
26	300	0	0	150
26	600	1	111	38
final	800	2	128	20
27	0	0	0	150
27	300	5	2	143
27	600	99	14	37
27	900	113	12	25
27	1200	124	11	15
27	1500	115	18	17
27	1800	118	14	18
final	1918	128	13	9
28	0	0	0	150
28	300	108	0	42
28	600	115	0	35
final	795	128	0	22
29	0	0	0	150
29	300	0	0	150
29	600	4	0	146
29	900	92	0	58
29	1200	110	0	40
29	1500	116	0	34
final	1530	129	0	21
30	0	0	0	150
30	300	0	119	31
final	315	0	129	21
31	0	0	0	150
31	300	0	0	150
31	600	0	0	150
31	900	0	0	150
31	1200	0	0	150
31	1500	0	0	150
31	1800	0	0	150
31	2100	0	7	143
31	2400	0	113	37
final	2481	0	128	22
32	0	0	0	150
32	300	0	120	30
final	427	0	128	22
33	0	0	0	150
33	300	0	105	45
33	600	0	119	31
final	659	0	129	21
34	0	0	0	150
34	300	0	3	147
34	600	1	115	34
final	804	0	128	22
35	0	0	0	150
35	300	70	0	80
35	600	121	0	29
final	693	128	0	22
36	0	0	0	150
36	300	0	0	150
final	556	0	131	19
37	0	0	0	150
37	300	120	0	30
final	355	128	0	22
38	0	0	0	150
38	300	12	0	138
38	600	61	0	89
38	900	96	17	37
38	1200	91	20	39
38	1500	94	22	34
38	1800	98	20	32
38	2100	109	22	19
38	2400	111	21	18
38	2700	86	38	26
38	3000	103	29	18
38	3300	102	20	28
38	3600	102	22	26
38	3900	118	21	11
38	4200	110	25	15
38	4500	113	21	16
final	4569	129	12	9
39	0	0	0	150
39	300	0	0	150
39	600	0	106	44
39	900	2	112	36
final	1029	3	128	19
40	0	0	0	150
40	300	0	112	38
final	482	0	128	22
41	0	0	0	150
41	300	112	0	38
41	600	121	8	21
final	671	128	7	15
42	0	0	0	150
42	300	0	81	69
final	517	0	128	22
43	0	0	0	150
43	300	0	0	150
43	600	0	0	150
43	900	0	0	150
43	1200	110	0	40
43	1500	121	1	28
final	1515	129	0	21
44	0	0	0	150
44	300	117	0	33
final	380	128	0	22
45	0	0	0	150
final	180	0	128	22
46	0	0	0	150
46	300	8	102	40
46	600	12	105	33
46	900	8	106	36
final	1010	3	129	18
47	0	0	0	150
47	300	88	0	62
47	600	124	0	26
final	606	128	0	22
48	0	0	0	150
48	300	3	0	147
48	600	43	4	103
48	900	110	0	40
final	1183	129	0	21
49	0	0	0	150
49	300	0	104	46
49	600	0	120	30
final	728	0	128	22
50	0	0	0	150
50	300	68	11	71
50	600	95	11	44
50	900	104	13	33
50	1200	114	7	29
50	1500	118	3	29
final	1545	129	3	18
51	0	0	0	150
51	300	5	77	68
51	600	13	116	21
51	900	10	115	25
51	1200	13	113	24
51	1500	11	111	28
51	1800	12	117	21
51	2100	15	114	21
51	2400	16	107	27
51	2700	12	114	24
51	3000	11	117	22
final	3166	7	128	15
52	0	0	0	150
52	300	9	38	103
52	600	8	103	39
final	844	1	129	20
53	0	0	0	150
53	300	0	19	131
53	600	4	117	29
53	900	0	119	31
final	1168	0	128	22
54	0	0	0	150
54	300	15	99	36
54	600	14	124	12
54	900	12	116	22
final	1130	5	128	17
55	0	0	0	150
55	300	0	0	150
55	600	7	0	143
final	797	128	0	22
56	0	0	0	150
56	300	112	0	38
final	444	130	0	20
57	0	0	0	150
57	300	98	0	52
final	443	129	0	21
58	0	0	0	150
58	300	0	0	150
58	600	0	0	150
58	900	0	0	150
58	1200	71	0	79
final	1422	131	0	19
59	0	0	0	150
59	300	93	0	57
59	600	121	0	29
final	891	128	0	22
60	0	0	0	150
60	300	7	8	135
60	600	16	102	32
60	900	17	117	16
60	1200	12	111	27
60	1500	12	117	21
60	1800	2	122	26
60	2100	0	120	30
final	2131	0	128	22
61	0	0	0	150
61	300	1	95	54
61	600	5	123	22
final	631	5	128	17
62	0	0	0	150
62	300	120	0	30
final	585	128	4	18
63	0	0	0	150
63	300	0	0	150
63	600	0	0	150
63	900	0	0	150
63	1200	0	0	150
63	1500	0	0	150
63	1800	10	0	140
63	2100	102	0	48
final	2396	128	0	22
64	0	0	0	150
64	300	117	7	26
final	428	128	7	15
65	0	0	0	150
65	300	0	98	52
65	600	0	112	38
65	900	0	119	31
final	903	0	128	22
66	0	0	0	150
66	300	0	100	50
66	600	0	113	37
final	862	0	128	22
67	0	0	0	150
67	300	7	10	133
67	600	119	10	21
67	900	115	16	19
67	1200	121	13	16
67	1500	112	13	25
67	1800	116	15	19
67	2100	122	10	18
final	2137	128	8	14
68	0	0	0	150
68	300	100	0	50
68	600	125	0	25
final	793	129	0	21
69	0	0	0	150
69	300	0	0	150
69	600	0	0	150
69	900	1	6	143
69	1200	0	66	84
69	1500	0	107	43
69	1800	0	126	24
final	1812	0	128	22
70	0	0	0	150
70	300	0	120	30
final	574	3	129	18
71	0	0	0	150
71	300	0	84	66
71	600	3	116	31
final	709	6	128	16
72	0	0	0	150
72	300	0	112	38
final	420	0	128	22
73	0	0	0	150
73	300	106	0	44
73	600	104	2	44
73	900	112	6	32
73	1200	119	12	19
73	1500	119	7	24
73	1800	110	14	26
73	2100	119	11	20
final	2237	128	7	15
74	0	0	0	150
74	300	0	70	80
74	600	0	118	32
final	791	0	128	22
75	0	0	0	150
75	300	0	89	61
75	600	2	120	28
final	735	0	128	22
76	0	0	0	150
76	300	0	0	150
76	600	1	0	149
76	900	70	2	78
final	1046	130	0	20
77	0	0	0	150
77	300	0	0	150
77	600	0	120	30
77	900	0	122	28
final	1113	0	128	22
78	0	0	0	150
78	300	105	4	41
78	600	113	7	30
78	900	115	9	26
78	1200	115	9	26
78	1500	111	15	24
78	1800	122	10	18
final	2070	128	0	22
79	0	0	0	150
79	300	119	0	31
final	560	128	2	20
80	0	0	0	150
80	300	0	107	43
final	373	0	128	22
81	0	0	0	150
81	300	0	123	27
final	310	0	128	22
82	0	0	0	150
82	300	0	0	150
82	600	0	0	150
82	900	116	0	34
final	1061	128	0	22
83	0	0	0	150
83	300	0	107	43
final	582	0	128	22
84	0	0	0	150
84	300	116	0	34
final	500	128	0	22
85	0	0	0	150
85	300	100	2	48
final	553	129	2	19
86	0	0	0	150
86	300	0	112	38
final	483	0	129	21
87	0	0	0	150
87	300	123	0	27
final	306	128	0	22
88	0	0	0	150
88	300	1	112	37
final	480	1	128	21
89	0	0	0	150
89	300	107	1	42
final	451	128	0	22
90	0	0	0	150
90	300	6	0	144
90	600	115	0	35
final	795	128	0	22
91	0	0	0	150
91	300	8	99	43
91	600	12	111	27
91	900	6	118	26
final	1078	4	128	18
92	0	0	0	150
92	300	108	0	42
92	600	112	0	38
final	815	128	0	22
93	0	0	0	150
93	300	0	121	29
final	305	0	128	22
94	0	0	0	150
94	300	117	6	27
final	437	128	0	22
95	0	0	0	150
95	300	0	3	147
95	600	0	117	33
final	697	0	128	22
96	0	0	0	150
96	300	0	0	150
96	600	0	0	150
96	900	0	105	45
final	1116	0	129	21
97	0	0	0	150
97	300	2	121	27
final	320	2	128	20
98	0	0	0	150
98	300	87	0	63
98	600	106	0	44
98	900	119	0	31
98	1200	123	0	27
final	1341	128	0	22
99	0	0	0	150
99	300	0	14	136
99	600	0	121	29
final	710	0	130	20
100	0	0	0	150
100	300	115	0	35
final	403	128	0	22
