Run Number  |  Time to Converge  |  Agents Commited to First / Second / Neither Target
0	0	0	0	150
0	120	2	0	148
0	240	4	1	145
0	360	9	7	134
0	480	10	10	130
0	600	14	13	123
0	720	22	20	108
0	840	31	23	96
0	960	34	27	89
0	1080	41	32	77
0	1200	44	42	64
0	1320	46	53	51
0	1440	53	56	41
0	1560	51	60	39
0	1680	56	60	34
final	1800	61	60	29
1	0	0	0	150
1	120	1	3	146
1	240	4	7	139
1	360	9	9	132
1	480	15	14	121
1	600	19	16	115
1	720	33	25	92
1	840	37	28	85
1	960	44	32	74
1	1080	50	35	65
1	1200	50	42	58
1	1320	61	51	38
1	1440	65	48	37
1	1560	74	52	24
1	1680	72	50	28
final	1800	73	47	30
2	0	0	0	150
2	120	1	0	149
2	240	2	2	146
2	360	4	5	141
2	480	7	6	137
2	600	10	13	127
2	720	24	18	108
2	840	31	21	98
2	960	38	20	92
2	1080	52	22	76
2	1200	53	28	69
2	1320	66	41	43
2	1440	72	42	36
2	1560	69	40	41
2	1680	70	40	40
final	1800	76	43	31
3	0	0	0	150
3	120	0	1	149
3	240	4	3	143
3	360	6	5	139
3	480	8	10	132
3	600	14	17	119
3	720	23	23	104
3	840	31	25	94
3	960	40	26	84
3	1080	43	27	80
3	1200	48	33	69
3	1320	58	42	50
3	1440	62	47	41
3	1560	69	50	31
3	1680	72	51	27
final	1800	72	58	20
4	0	0	0	150
4	120	2	1	147
4	240	3	6	141
4	360	5	9	136
4	480	6	13	131
4	600	10	16	124
4	720	17	24	109
4	840	26	29	95
4	960	32	34	84
4	1080	36	43	71
4	1200	48	46	56
4	1320	62	53	35
4	1440	65	56	29
4	1560	64	57	29
4	1680	60	57	33
final	1800	59	60	31
5	0	0	0	150
5	120	1	1	148
5	240	5	5	140
5	360	7	8	135
5	480	8	9	133
5	600	11	15	124
5	720	20	28	102
5	840	22	31	97
5	960	25	37	88
5	1080	26	43	81
5	1200	33	44	73
5	1320	39	53	58
5	1440	42	59	49
5	1560	44	66	40
5	1680	46	68	36
final	1800	48	68	34
6	0	0	0	150
6	120	2	2	146
6	240	4	4	142
6	360	9	7	134
6	480	11	9	130
6	600	15	9	126
6	720	25	11	114
6	840	29	16	105
6	960	36	20	94
6	1080	41	24	85
6	1200	46	30	74
6	1320	63	34	53
6	1440	65	44	41
6	1560	64	48	38
6	1680	70	54	26
final	1800	74	54	22
7	0	0	0	150
7	120	5	2	143
7	240	7	4	139
7	360	10	7	133
7	480	11	11	128
7	600	16	15	119
7	720	19	27	104
7	840	26	30	94
7	960	36	38	76
7	1080	42	49	59
7	1200	48	56	46
7	1320	52	69	29
7	1440	58	74	18
7	1560	58	70	22
7	1680	57	71	22
final	1800	56	74	20
