QltyValue_1.5_targetDis_1.16_CRW_0.0_levy_2.0	[]
QltyValue_5.0_targetDis_0.76_CRW_0.0_levy_1.2	[1560, 600, 840, 1080, 1200, 1680, 480, 720, 720, 1440, 1080, 600, 1560, 1440, 360, 360, 360, 1200, 1320, 600, 840, 840, 1800, 960, 480, 1320, 360, 600, 1440, 840, 720, 360, 1080, 1680, 1560, 840, 1200, 960, 1080, 1800, 840, 1560, 360, 1200, 600, 1680, 1560, 720, 600, 1200, 1680, 1080, 720, 1200, 960, 1320, 1560, 600]
QltyValue_5.0_targetDis_0.56_CRW_0.0_levy_2.0	[720, 600, 240, 240, 360, 1080, 1320, 720, 600, 1800, 720, 1440, 960, 1320, 1680, 480, 1200, 1440, 840, 960, 480, 1440, 840, 1800, 960, 240, 1440, 1080, 1440, 1200, 1080, 480, 360, 1560, 1800, 360, 1560, 1080, 1800, 480, 1080, 1320, 360, 600, 240, 1560, 960, 1680, 480, 1680, 960, 360, 1080, 360, 960, 1200, 480]
QltyValue_1.5_targetDis_0.46_CRW_0.0_levy_2.0	[]
QltyValue_5.0_targetDis_0.76_CRW_0.6_levy_2.0	[960, 480, 1440, 600, 600, 360, 720, 600, 1080, 1320, 240, 1560, 1320, 1680, 1440, 240, 1200, 1080, 600, 480, 960, 1680, 1560, 480, 1200, 1200, 600, 360, 360, 720, 1080, 720, 960, 1080, 480, 1080, 1200, 720, 600, 960, 600, 1440, 720, 600, 600, 1200, 480, 600, 840, 600, 360, 840, 1200, 1440, 840, 480, 1080, 1080, 960, 1200, 1320, 1080, 960, 960, 960, 960, 600, 1320, 1560, 600, 1080, 840, 960, 1680, 720, 720, 1320, 1080, 720, 1080, 360, 840]
QltyValue_1.5_targetDis_0.76_CRW_0.0_levy_2.0	[]
QltyValue_5.0_targetDis_1.16_CRW_0.0_levy_2.0	[840, 360, 480, 1200, 720, 600, 960, 720, 360, 840, 1800, 360, 1440, 600, 600, 720, 1080, 1800, 480, 840, 720, 840, 1200, 600, 720, 1680, 1200, 600, 960, 1080, 1320, 840, 1080, 1200, 600, 480, 1200, 960, 720, 1320, 960, 360, 1320, 1320, 960, 720, 600, 600, 840, 1200, 600, 480, 1560, 1800, 360, 1440, 480, 840, 1200, 1800, 840, 240, 360, 1680, 1200, 720, 360, 1440, 1320, 1800, 1560]
QltyValue_5.0_targetDis_0.76_CRW_0.3_levy_1.2	[600, 1200, 1800, 360, 1560, 1320, 240, 1680, 1200, 360, 1320, 720, 840, 360, 1200, 1080, 720, 1320, 720, 1080, 1200, 1440, 1800, 1080, 840, 1680, 240, 720, 720, 1200, 720, 1320, 360, 1560, 1440, 1440, 960, 360, 600, 360, 1680, 840, 720, 1200, 480, 1200, 360, 720, 1680, 240, 960, 1080, 600, 240, 600, 1320, 1080, 1440]
QltyValue_5.0_targetDis_0.76_CRW_0.0_levy_2.0	[480, 1320, 1320, 720, 840, 840, 840, 1200, 960, 1800, 480, 1440, 840, 600, 600, 1320, 1800, 600, 1320, 600, 1560, 240, 1800, 1800, 840, 1080, 480, 1320, 1680, 1080, 1080, 1080, 360, 1200, 1440, 1440, 1200, 720, 1320, 600, 480, 960, 1560, 840, 1080, 1320, 1200, 240, 1080, 480, 1200, 600, 1800, 720, 1320, 1080, 1560]
QltyValue_5.0_targetDis_0.36_CRW_0.0_levy_2.0	[1320, 240, 720, 720, 1200, 480, 1680, 240, 480, 600, 1080, 240, 1320, 1440, 240, 1080, 1560, 240, 840, 1800, 360, 840, 360, 600, 1440, 960, 240, 840, 1680, 720, 720, 1200, 840, 240, 1320, 600, 840, 360, 600, 600, 240, 480, 360, 600, 1680, 360, 1200, 240, 240, 600, 1440, 840, 1560, 360]
QltyValue_5.0_targetDis_0.28_CRW_0.0_levy_2.0	[1080, 600, 960, 1680, 1320, 840, 960, 480, 600, 1440, 240, 1680, 720, 360, 960, 1800, 1320, 840, 240, 480, 360, 360, 600, 240, 600, 360, 240, 240, 720, 480, 1680, 480, 240, 1560, 480, 360, 240, 240, 360, 1080, 960, 1560, 1800, 840, 360, 360, 960, 600, 1200, 600, 1200, 1200, 1800, 480, 1320, 1080, 1560, 1680, 480, 240, 1200, 360, 840, 600, 240, 1560, 360, 240, 1560, 600, 480, 480, 960, 1560]
QltyValue_1.5_targetDis_0.28_CRW_0.0_levy_2.0	[]
QltyValue_5.0_targetDis_0.46_CRW_0.0_levy_2.0	[1440, 360, 840, 720, 1320, 1680, 480, 600, 1440, 360, 720, 960, 720, 1800, 1200, 600, 480, 480, 360, 1560, 1440, 1320, 480, 960, 1080, 480, 840, 480, 960, 960, 240, 240, 240, 240, 720, 840, 600, 480, 1320, 1080, 360, 1200, 1080, 840, 1320, 1200, 600, 720, 960, 240, 600, 240, 840, 1320, 1800, 840, 480, 360, 360, 1680]
QltyValue_5.0_targetDis_1.06_CRW_0.0_levy_2.0	[1800, 1080, 960, 480, 480, 360, 1200, 600, 480, 960, 1080, 480, 1680, 360, 840, 480, 960, 720, 600, 1080, 720, 1200, 840, 1080, 1320, 960, 1080, 600, 1200, 1080, 1800, 960, 1680, 1440, 1200, 1560, 960, 1440, 1080, 360, 840, 1560, 600, 240, 720, 1080, 1080, 360, 1800, 840, 1680, 960, 360, 480, 1080, 360, 1680, 600, 360, 720]
